id,Timestamp,Day,Month ,Time,Date,AM or PM,text,link,is_retweet,retweets,favorites,replies
123,24/04/2017 14:37,Monday,April,14:37:00,24/04/2017,PM,"Today, I signed the Holocaust Remembrance Proclamation. \n#HolocaustRemembranceDay \nRead the proclamation here: https://m.facebook.com/DonaldTrump/posts/10159027593260725��pic.twitter.com/tE6r71zIUx",https://twitter.com/POTUS/status/856623033360011264,FALSE,40000,16000,16000
124,24/04/2017 11:22,Monday,April,11:22:00,24/04/2017,AM,Join me in congratulating @NASA's @AstroPeggy by using the hashtag #CongratsPeggy! Earlier today: http://45.wh.gov/YBZbAo�pic.twitter.com/bBcyAqRGaE,https://twitter.com/POTUS/status/856574078639099905,FALSE,25000,14000,963
125,23/04/2017 17:13,Sunday,April,17:13:00,23/04/2017,PM,"Happy 109th Birthday, @USArmyReserve. Thank you for your service! -DJTpic.twitter.com/yirZwO2j2x",https://twitter.com/POTUS/status/856299911968571392,FALSE,53000,24000,13000
126,22/04/2017 14:42,Saturday,April,14:42:00,22/04/2017,PM,"Today on Earth Day, we celebrate our beautiful forests, lakes and land. We stand committed to preserving the natural beauty of our nation.",https://twitter.com/POTUS/status/855899715375964160,FALSE,55000,31000,67000
127,22/04/2017 09:26,Saturday,April,09:26:00,22/04/2017,AM,Getting ready to visit Walter Reed Medical Center with Melania. Looking forward to seeing our bravest and greatest Americans!,https://twitter.com/POTUS/status/855820001089118208,FALSE,51000,31000,27000
128,21/04/2017 15:03,Friday,April,15:03:00,21/04/2017,PM,Weekly Address - tune in! #MAGA  http://45.wh.gov/LBot67�pic.twitter.com/L2sXQy3yHO,https://twitter.com/POTUS/status/855542647770853376,FALSE,23000,97000,15000
129,20/04/2017 21:04,Thursday,April,21:04:00,20/04/2017,PM,Thank you @usembassyjkt!https://twitter.com/vp/status/855268705894227970��,https://twitter.com/POTUS/status/855271077559189504,FALSE,22000,14000,731
130,20/04/2017 14:14,Thursday,April,14:14:00,20/04/2017,PM,"Trump�s �Buy American, Hire American�https://townhall.com/columnists/andyschlafly/2017/04/19/trumps-buy-american-hire-american-n2314971��",https://twitter.com/POTUS/status/855167898800848896,FALSE,32000,15000,25000
131,20/04/2017 14:03,Thursday,April,14:03:00,20/04/2017,PM,"We're going to use American steel, we're going to use American labor, we are going to come first in all deals. �http://45.wh.gov/7xvM2D�pic.twitter.com/GvLH4mgQHN",https://twitter.com/POTUS/status/855165074994016257,FALSE,35000,16000,27000
132,20/04/2017 13:51,Thursday,April,13:51:00,20/04/2017,PM,#ICYMI- join Prime Minister Paolo Gentiloni and I from the East Room of the White House!https://twitter.com/whitehouse/status/855107737386143744��,https://twitter.com/POTUS/status/855162122472390656,FALSE,16000,97000,806
133,19/04/2017 23:10,Wednesday,April,23:10:00,19/04/2017,PM,Tune into @NASA TV for coverage of our #Airman headed to #Space! Launch coverage begins @ 2:15 a.m. EST. Watch here: https://www.nasa.gov/multimedia/nasatv/#public��pic.twitter.com/gs52Lg7r8G,https://twitter.com/POTUS/status/854940297230516225,FALSE,27000,12000,975
134,19/04/2017 21:08,Wednesday,April,21:08:00,19/04/2017,PM,"It was my honor, thank you!https://twitter.com/patriots/status/854850548260098048��",https://twitter.com/POTUS/status/854909603020197888,FALSE,65000,33000,18000
135,19/04/2017 15:06,Wednesday,April,15:06:00,19/04/2017,PM,Today I signed the Veterans (OUR HEROES) Choice Program Extension & Improvement Act @ the @WhiteHouse. #S544 \nWatchhttp://45.wh.gov/7x5n53�pic.twitter.com/iE7Hi7S2Un,https://twitter.com/POTUS/status/854818543396847617,FALSE,52000,20000,17000
136,19/04/2017 04:36,Wednesday,April,04:36:00,19/04/2017,AM,#BuyAmericanHireAmerican #MAGApic.twitter.com/lDSzxKewxN,https://twitter.com/POTUS/status/854660049674915840,FALSE,64000,23000,33000
