StateFIPCode,ZipCode,StateAbbr,City,Longitude,Latitude,Population,AllocationPercentage
08,80512,CO,BELLVUE,105.26097700,40.62652800,1982,.0006020000
08,80513,CO,BERTHOUD,105.10545900,40.29933300,6886,.0020900000
08,80514,CO,DACONO,104.92970500,40.08361000,2223,.0006750000
08,80515,CO,DRAKE,105.29692500,40.44325700,721,.0002190000
08,80516,CO,ERIE,105.06858300,40.05974600,304,.0000920000
08,80517,CO,ESTES PARK,105.51416300,40.36576100,6428,.0019510000
08,80521,CO,FORT COLLINS,105.10388400,40.58129300,30059,.0091240000
08,80524,CO,FORT COLLINS,105.05811000,40.59865000,21204,.0064360000
08,80525,CO,FORT COLLINS,105.05471500,40.53835400,31263,.0094900000
08,80526,CO,FORT COLLINS,105.10764600,40.54729400,29180,.0088570000
08,80534,CO,JOHNSTOWN,104.92355800,40.33552600,2601,.0007900000
08,80535,CO,LAPORTE,105.14875700,40.63468300,2300,.0006980000
08,80536,CO,VIRGINIA DALE,105.36774500,40.77987800,513,.0001560000
08,80537,CO,LOVELAND,105.09164000,40.38491700,24502,.0074370000
08,80538,CO,LOVELAND,105.08998500,40.42623900,26449,.0080280000
08,80540,CO,LYONS,105.32307100,40.23571500,3696,.0011220000
08,80543,CO,MILLIKEN,104.87613700,40.31065600,2632,.0007990000
08,80545,CO,RED FEATHER LAKE,105.62445500,40.79645100,440,.0001340000
08,80549,CO,WELLINGTON,105.03184400,40.72552500,3309,.0010040000
08,80550,CO,WINDSOR,104.89944200,40.48366300,6724,.0020410000
08,80601,CO,LOCHBUI,104.81027800,39.98055300,20533,.0062330000
08,80610,CO,AULT,104.73562900,40.59377200,2684,.0008150000
08,80611,CO,BRIGGSDALE,104.28707000,40.63919200,259,.0000790000
08,80612,CO,CARR,104.88586500,40.86655100,94,.0000290000
08,80615,CO,EATON,104.71455900,40.52727200,2902,.0008810000
08,80620,CO,EVANS,104.69709500,40.38025500,6262,.0019010000
08,80621,CO,WATTENBURG,104.86563900,40.07887600,12913,.0039200000
08,80622,CO,GALETON,104.59725400,40.51503400,360,.0001090000
08,80624,CO,GILL,104.49999500,40.46958600,130,.0000390000
08,80631,CO,GARDEN CITY,104.70475600,40.41396800,53905,.0163630000
08,80634,CO,GREELEY,104.75411300,40.41094700,14100,.0042800000
08,80640,CO,HENDERSON,104.87183400,39.89830400,1388,.0004210000
08,80642,CO,HUDSON,104.65320800,40.06055500,2369,.0007190000
08,80643,CO,KEENESBURG,104.44636600,40.09584700,1979,.0006010000
08,80644,CO,KERSEY,104.52876800,40.39630500,2843,.0008630000
08,80645,CO,LA SALLE,104.72678400,40.32113800,4455,.0013520000
08,80648,CO,NUNN,104.78501200,40.72648300,505,.0001530000
08,80649,CO,ORCHARD,104.09732500,40.36394600,277,.0000840000
